TheTime	B_DO	B_K	B_LevelControl_in	B_LevelControl_out	B_MFC	B_NH4	B_pH	B_Pump_acid	B_Pump_base	B_Pump_effluent	B_Pump_effluent_speed	B_Pump_influent	B_Pump_influent_speed	B_Stirrer	B_T_DO	B_T_ISE	B_Valve_air	B_Valve_N2	B_slopeNH4
42424.78608	0	0.457	-0.41		0	26.9	7.19	0	0	0	2.67	0	1.12	1.0	22.2	19.7	0	0	-0.02477448
42424.78614	0	0.456	-0.41		0	26.9	7.19	0	0	0	2.67	0	1.12	1.0	22.2	19.7	0	0	-0.02432042
42424.78619	0	0.456	-0.41		0	26.9	7.19	0	0	0	2.67	0	1.12	1.0	22.2	19.7	0	0	-0.02384766
42424.78625	0	0.455	-0.41		0	26.9	7.19	0	0	0	2.67	0	1.12	1.0	22.2	19.7	0	0	-0.02335618
42424.78631	0	0.455	-0.40		0	26.9	7.19	0	0	0	2.67	0	1.12	1.0	22.2	19.7	0	0	-0.02284596
42424.78637	0	0.454	-0.41		0	26.9	7.19	0	0	0	2.67	0	1.12	1.0	22.2	19.7	0	0	-0.02231696
42424.78643	0	0.454	-0.41		0	26.9	7.19	0	0	0	2.67	0	1.12	1.0	22.2	19.7	0	0	-0.02176922
42424.78648	0	0.453	-0.41		0	26.9	7.19	0	0	0	2.67	0	1.12	1.0	22.2	19.7	0	0	-0.02120350
42424.78654	0	0.453	-0.41		0	26.9	7.19	0	0	0	2.67	0	1.12	1.0	22.2	19.7	0	0	-0.02062328
42424.78660	0	0.452	-0.41		0	26.9	7.19	0	0	0	2.67	0	1.12	1.0	22.2	19.7	0	0	-0.02003574
42424.78666	0	0.451	-0.41		0	26.9	7.19	0	0	0	2.67	0	1.12	1.0	22.2	19.7	0	0	-0.01944463
42424.78672	0	0.451	-0.41		0	26.9	7.19	0	0	0	2.67	0	1.12	1.0	22.2	19.7	0	0	-0.01885903
42424.78677	0	0.450	-0.41		0	26.9	7.19	0	0	0	2.67	0	1.12	1.0	22.2	19.8	0	0	-0.01827593
42424.78683	0	0.450	-0.41		0	26.9	7.19	0	0	0	2.67	0	1.12	1.0	22.2	19.8	0	0	-0.01769785
42424.78689	0	0.449	-0.41		0	26.9	7.19	0	0	0	2.67	0	1.12	1.0	22.2	19.8	0	0	-0.01712869
42424.78695	0	0.449	-0.41		0	26.9	7.19	0	0	0	2.67	0	1.12	1.0	22.2	19.8	0	0	-0.01656823
42424.78701	0	0.448	-0.41		0	26.9	7.19	0	0	0	2.67	0	1.12	1.0	22.2	19.8	0	0	-0.01601638
42424.78706	0	0.448	-0.41		0	26.9	7.19	0	0	0	2.67	0	1.12	1.0	22.2	19.8	0	0	-0.01546926
42424.78712	0	0.447	-0.41		0	26.9	7.19	0	0	0	2.67	0	1.12	1.0	22.2	19.8	0	0	-0.01493520
42424.78718	0	0.446	-0.41		0	26.9	7.19	0	0	0	2.67	0	1.12	1.0	22.2	19.8	0	0	-0.01440817
42424.78724	0	0.446	-0.41		0	26.9	7.19	0	0	0	2.67	0	1.12	1.0	22.2	19.8	0	0	-0.01388907
42424.78730	0	0.445	-0.41		0	26.9	7.19	0	0	0	2.67	0	1.12	1.0	22.2	19.8	0	0	-0.01338140
42424.78735	0	0.445	-0.41		0	26.9	7.19	0	0	0	2.67	0	1.12	1.0	22.2	19.8	0	0	-0.01288314
42424.78741	0	0.444	-0.41		0	26.9	7.19	0	0	0	2.67	0	1.12	1.0	22.2	19.8	0	0	-0.01239332
42424.78747	0	0.444	-0.41		0	26.9	7.19	0	0	0	2.67	0	1.12	1.0	22.2	19.8	0	0	-0.01191194
42424.78753	0	0.443	-0.41		0	26.9	7.19	0	0	0	2.67	0	1.12	1.0	22.2	19.8	0	0	-0.01144245
42424.78759	0	0.443	-0.40		0	26.9	7.19	0	0	0	2.67	0	1.12	1.0	22.2	19.8	0	0	-0.01097916
42424.78764	0	0.442	-0.41		0	26.9	7.19	0	0	0	2.67	0	1.12	1.0	22.2	19.8	0	0	-0.01052430
42424.78770	0	0.441	-0.41		0	26.9	7.19	0	0	0	2.67	0	1.12	1.0	22.2	19.9	0	0	-0.01008180
42424.78776	0	0.441	-0.41		0	26.9	7.19	0	0	0	2.67	0	1.12	1.0	22.2	19.9	0	0	-0.009651282
42424.78782	0	0.440	-0.41		0	26.9	7.19	0	0	0	2.67	0	1.12	1.0	22.2	19.9	0	0	-0.009229185
42424.78788	0	0.440	-0.41		0	26.9	7.19	0	0	0	2.67	0	1.12	1.0	22.2	19.9	0	0	-0.008815741
42424.78794	0	0.439	-0.41		0	26.9	7.19	0	0	0	2.67	0	1.12	1.0	22.2	19.9	0	0	-0.008412810
42424.78799	0	0.439	-0.40		0	26.8	7.19	0	0	0	2.67	0	1.12	1.0	22.2	19.9	0	0	-0.008020170
42424.78805	0	0.438	-0.41		0	26.8	7.19	0	0	0	2.67	0	1.12	1.0	22.2	19.9	0	0	-0.007637635
42424.78811	0	0.438	-0.41		0	26.8	7.19	0	0	0	2.67	0	1.12	1.0	22.2	19.9	0	0	-0.007262415
42424.78817	0	0.437	-0.41		0	26.8	7.19	0	0	0	2.67	0	1.12	1.0	22.2	19.9	0	0	-0.006901160
42424.78823	0	0.436	-0.40		0	26.8	7.19	0	0	0	2.67	0	1.12	1.0	22.2	19.9	0	0	-0.006549108
42424.78828	0	0.436	-0.41		0	26.8	7.19	0	0	0	2.67	0	1.12	1.0	22.2	19.9	0	0	-0.006210988
42424.78834	0	0.435	-0.41		0	26.8	7.19	0	0	0	2.67	0	1.12	1.0	22.2	20.0	0	0	-0.005883127
42424.78840	0	0.435	-0.41		0	26.8	7.19	0	0	0	2.67	0	1.12	1.0	22.2	20.0	0	0	-0.005564477
42424.78846	0	0.434	-0.41		0	26.8	7.19	0	0	0	2.67	0	1.12	1.0	22.2	20.0	0	0	-0.005257457
42424.78852	0	0.433	-0.41		0	26.8	7.19	0	0	0	2.67	0	1.12	1.0	22.2	20.0	0	0	-0.004962973
